SID,validity,target,nonTargetContrast,dis_dp,dis_c,det_dp,det_c,dis_dp_SS,dis_c_SS,det_dp_SS,det_c_SS
"S0015",3,1,1,0.993129114160457,0.177925193115853,4.01660656148311,-0.145571413319902,0.993129114160462,0.177925193115854,4.01660656148309,-0.145571413319902
"S0015",1,2,1,4.04265573437967,-0.289663471067587,3.5716721041836,-0.77584588284222,3.50437637509684,-0.110543679873226,3.17566555381201,-0.56604191715545
"S0015",2,2,1,3.06824108870509,-0,4.01660656148311,-0.145571413319902,3.06824108870509,-0,4.01660656148309,-0.145571413319902
"S0015",3,2,1,2.30069876075202,-0,2.73300685631701,-0.78737126590295,2.30069876075202,-0,2.73300685631701,-0.787371265902948
"S0015",1,1,2,3.78436525157104,0.402712583457578,4.09580247928657,0.513780695290739,3.21705640656267,0.160296835237371,3.72231679405928,0.292716297031814
"S0015",2,1,2,2.83639556239685,0.350627257320282,3.16386486331104,0.571942262405937,2.84411735827508,0.34676635938116,3.16386486331103,0.57194226240594
"S0015",3,1,2,2.44615310505905,0.203000319743323,3.04102125308033,0.63336406752129,2.44615310505905,0.203000319743324,3.04102125308032,0.633364067521288
"S0015",1,2,2,3.80994430202961,-0.381575800296175,4.04265573437966,0.289663471067587,3.29882633684343,-0.153329922317471,3.80559389478504,0.143646043638847
"S0015",2,2,2,3.36803518016846,0.149897045731684,4.01660656148311,0.145571413319902,3.31252811076778,0.146479035355291,4.01660656148309,0.145571413319902
"S0015",3,2,2,2.90148515969406,-0.383172055968886,3.47188559136499,0.41793189837896,2.87031361461732,-0.367586283430525,3.47188559136498,0.417931898378957
"S0018",1,1,1,2.69908596222395,0.382121415010272,4.01608953779006,-0.55363716603899,2.62453996515527,0.290879724692869,3.65298881744203,-0.32738028534044
"S0018",2,1,1,1.99791817565566,-0.111812528808955,3.7254637348433,-0,1.99761011456444,-0.111966559354571,3.72546373484329,-0
"S0018",3,1,1,1.16326616131075,0.0928566695407061,3.687995238414,-0.309877074854455,1.17029428385611,0.0931085454038292,3.68799523841401,-0.309877074854455
"S0018",1,2,1,2.98982595718534,0.236751417529574,4.09580247928657,-0.513780695290737,2.95789699158031,0.162971811089582,3.73500991561558,-0.286369736253664
"S0018",2,2,1,3.01308124779766,-0.356191243522822,4.30774938812291,-0,3.01308124779768,-0.35619124352282,4.30774938812292,-0
"S0018",3,2,1,2.03749593939488,0.131601410678566,4.30774938812291,-0,2.03749593939489,0.131601410678566,4.30774938812292,-0
"S0018",1,1,2,3.0508816839515,-0.484433930219633,4.29334633105627,0.415008769405889,2.81797501076221,-0.313762348051001,3.91066610980859,0.19854163915716
"S0018",2,1,2,3.7254637348433,-0,4.30774938812291,-0,3.66782927163183,-0,4.30774938812292,-0
"S0018",3,1,2,2.98426401619192,-0.341782627719953,4.01660656148311,0.145571413319902,2.9985496299109,-0.334639820860466,4.01660656148309,0.145571413319902
"S0018",1,2,2,3.40208032768378,-0.318046036741252,4.59851606663541,0.262423901616318,3.1682284111552,-0.16097480818531,4.09880457240218,0.104472407860362
"S0018",2,2,2,2.74987842644053,-0.487792654201388,4.30774938812291,-0,2.74987842644054,-0.487792654201386,4.30774938812292,-0
"S0018",3,2,2,3.06824108870509,-0,4.30774938812291,-0,3.06824108870509,-0,4.30774938812292,-0
"S0019",1,1,1,1.42856786196778,-0.340188520786165,3.94467606203466,-0.589343903916691,1.51336906030863,-0.35769368265846,3.59868899297772,-0.354530197572595
"S0019",2,1,1,1.20578592298325,0.28425359752725,3.687995238414,-0.309877074854455,1.20578592298324,0.284253597527252,3.68799523841401,-0.309877074854455
"S0019",3,1,1,0.831710016411633,-0.734494372170192,4.30774938812291,-0,0.831710016411628,-0.73449437217019,4.30774938812292,-0
"S0019",1,2,1,1.45619797721637,-0.239322577493516,3.66282744330787,-0.730268213280084,1.50986302452026,-0.250959719704929,3.28337157632006,-0.512188905901425
