sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,dis_over2N_dPrime,dis_over2N_crit
"S0105",2,2,3,1.82483913057209,0.237929815089963
"S0105",3,2,3,1.77429311803775,-0
"S0108",1,1,1,2.20627805004999,-0.334496011320091
"S0108",2,1,1,2.27072019288524,-0.146191469101983
"S0108",3,1,1,1.86187678400288,-0.887707200848622
"S0108",1,2,1,2.63497089086278,-0.307495276181808
"S0108",2,2,1,2.54411071360213,-0.262065187551482
"S0108",3,2,1,2.09443265845146,-0.270794568077805
"S0108",1,1,2,2.21057294351573,-0.616510060643196
"S0108",2,1,2,1.56163630921496,-0.106328404411397
"S0108",3,1,2,1.21548118038817,-0.926379954158461
"S0108",1,2,2,2.53334350747665,-0.116322373362315
"S0108",2,2,2,2.68446992472856,-0.191885581988269
"S0108",3,2,2,1.56163630921496,-0.106328404411397
"S0108",1,1,3,2.37101891744125,-0.0479851032480672
"S0108",2,1,3,3.30382903678322,-0.150828572347583
"S0108",3,1,3,2.27122726189206,-0.633211407572676
"S0108",1,2,3,2.92398069072026,-0.574843786341256
"S0108",2,2,3,2.42126710337142,-0.323486992666835
"S0108",3,2,3,2.74987842644053,-0.487792654201388
"S0111",1,1,1,2.67165400664564,0.268256479444681
"S0111",2,1,1,2.21980175501624,0.408028282086159
"S0111",3,1,1,2.55877253348044,0.848658967444764
"S0111",1,2,1,2.87091930191134,0.408305378040668
"S0111",2,2,1,4.00392998839367,-0.139233126775184
"S0111",3,2,1,2.83776491584204,0.429713830580387
"S0111",1,1,2,2.75451459990347,-0.00573682714890311
"S0111",2,1,2,2.68446992472856,0.191885581988269
"S0111",3,1,2,2.456840359026,0.605494456302913
"S0111",1,2,2,2.8256263984209,0.28847496764181
"S0111",2,2,2,3.3968524117742,-0.164305661534553
"S0111",3,2,2,2.42126710337142,0.323486992666835
"S0111",1,1,3,2.81871917630878,0.600515184040995
"S0111",2,1,3,1.79446717816522,0.603852356961416
"S0111",3,1,3,2.04434303006384,0.811743120783995
"S0111",1,2,3,2.96688346181081,0.544627414028502
"S0111",2,2,3,3.69664650323757,0.0144086158028687
"S0111",3,2,3,2.9446862524527,0.361571509589564
"S0122",1,1,1,1.76467219072058,0.0637865760042999
"S0122",2,1,1,1.41224023457131,0.303870051963928
"S0122",3,1,1,1.61975401935983,0.321100598565244
