sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub
"S0071",1,1,1,2.92662132005336,-0.864223002290697
"S0071",2,1,1,2.81694405933681,-0.757634723223926
"S0071",3,1,1,2.81694405933681,-0.757634723223926
"S0071",1,2,1,3.570827436094,-0.776268216887027
"S0071",2,2,1,2.72569902711976,-0.803257239332449
"S0071",3,2,1,3.01860178716702,-0.656805859308818
"S0071",1,1,2,3.74779661084271,0.687783629512674
"S0071",2,1,2,2.34455741744484,0.0754751466289055
"S0071",3,1,2,2.91396534765563,0.709124079064514
"S0071",1,2,2,3.93982502059545,0.353427451614576
"S0071",2,2,2,3.41386060824365,0.459176448770503
"S0071",3,2,2,2.86840031937276,1.11022302462516e-16
"S0085",1,1,1,4.24756368505529,0.00232374699613336
"S0085",2,1,1,3.85672838247723,-0.237742561653716
"S0085",3,1,1,4.33221350578466,-2.22044604925031e-16
"S0085",1,2,1,4.08352407280785,-0.519919898530106
"S0085",2,2,1,3.41386060824365,-0.459176448770503
"S0085",3,2,1,3.41386060824365,-0.459176448770503
"S0085",1,1,2,4.69522561067219,0.214069129597924
"S0085",2,1,2,3.01860178716702,0.656805859308818
"S0085",3,1,2,3.41386060824365,0.459176448770503
"S0085",1,2,2,4.88432294677879,0.119520461544617
"S0085",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0085",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0105",1,1,1,4.9010977483991,0.111133060734468
"S0105",2,1,1,3.41386060824365,-0.459176448770503
"S0105",3,1,1,3.85672838247723,0.237742561653715
"S0105",1,2,1,4.10977527650918,-0.0908250725329849
"S0105",2,2,1,3.3812432591698,-3.33066907387547e-16
"S0105",3,2,1,4.33221350578466,-2.22044604925031e-16
"S0105",1,1,2,5.12336386986801,1.11022302462516e-15
"S0105",2,1,2,3.85672838247723,0.237742561653715
"S0105",3,1,2,4.33221350578466,-2.22044604925031e-16
"S0105",1,2,2,4.89480719779148,0.114278336038274
"S0105",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0105",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0108",1,1,1,3.9533065315312,-0.35996674742943
"S0108",2,1,1,3.85672838247723,-0.237742561653716
"S0108",3,1,1,3.85672838247723,-0.237742561653716
"S0108",1,2,1,3.94186404664607,-0.590749911610998
"S0108",2,2,1,3.01860178716702,-0.656805859308818
"S0108",3,2,1,3.26291031498584,-0.534651595399408
"S0108",1,1,2,4.31548561137248,0.18027510764382
"S0108",2,1,2,3.41386060824365,0.459176448770503
"S0108",3,1,2,3.01860178716702,0.656805859308818
"S0108",1,2,2,5.12336386986801,1.11022302462516e-15
"S0108",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0108",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0111",1,1,1,3.4828846623593,-0.588887131407779
"S0111",2,1,1,2.81694405933681,-0.757634723223926
"S0111",3,1,1,3.60030691257871,0.365953296602975
"S0111",1,2,1,2.97926849263365,-0.229299148546438
"S0111",2,2,1,4.33221350578466,-2.22044604925031e-16
"S0111",3,2,1,3.85672838247723,-0.237742561653716
"S0111",1,1,2,3.2862561524086,0.204417299967076
"S0111",2,1,2,3.26291031498584,0.534651595399408
"S0111",3,1,2,3.13352831899403,0.599342593395314
"S0111",1,2,2,4.10413542056101,0.0672152882536459
"S0111",2,2,2,3.85672838247723,0.237742561653715
"S0111",3,2,2,3.60030691257871,0.365953296602975
"S0122",1,1,1,3.6599469899934,-0.731708439937324
"S0122",2,1,1,3.26291031498584,-0.534651595399408
"S0122",3,1,1,3.85672838247723,-0.237742561653716
"S0122",1,2,1,4.19629245576077,-0.463535707053641
"S0122",2,2,1,3.26291031498584,-0.534651595399408
"S0122",3,2,1,3.3812432591698,-3.33066907387547e-16
"S0122",1,1,2,3.8608134942888,0.410406966455714
